Product_Name, Pricing, Ratings 
Samsung Galaxy J6 (Blue| 64 GB),Rs.9490,4.410,472
Samsung Galaxy A10 (Blue| 32 GB),Rs.7990,4.41,958
Samsung Galaxy M30 (Gradation Black| 64 GB),Rs.16478,4.365
Samsung Galaxy A20 (Red| 32 GB),Rs.11490,4.42,559
Samsung Galaxy A30 (Red| 64 GB),Rs.15490,4.44,791
Samsung Guru Music 2,Rs.1625,4.392,207
Samsung Guru 1200,Rs.1100,4.378,562
Samsung Guru 1200,Rs.1100,4.378,562
Samsung Guru Music 2,Rs.1625,4.392,207
Samsung Guru 1200,Rs.1100,4.378,562
Samsung Galaxy J4 Plus (Black| 32 GB),Rs.8490,4.33,603
Samsung Galaxy J6 (Black| 64 GB),Rs.9490,4.410,472
Samsung Galaxy A50 (Blue| 64 GB),Rs.22990,4.32,169
Samsung Galaxy A70 (Blue| 128 GB),Rs.28990,4.4571
Samsung Guru FM Plus SM-B110E/D,Rs.1375,4.229,781
Samsung Guru 1200,Rs.1100,4.378,562
Samsung Guru Music 2,Rs.1625,4.392,207
Samsung B351E/Metro 350,Rs.2800OffersNo Cost ,4.19,033
Samsung Guru FM Plus SM-B110E/D,Rs.1375,4.229,781
Samsung Metro 313 Dual Sim,Rs.2025,4.25,295
Samsung Guru FM Plus,Rs.1375,4.29,259
Samsung Galaxy On6 (Black| 64 GB),Rs.14100,4.393,075
Samsung B351E/Metro 350,Rs.2800OffersNo Cost ,4.19,033
Samsung Galaxy J2 Core (Gold| 8 GB),Rs.5490,4.24,792
